clave,texto_español
"news.hero.title","Últimas noticias sobre transporte marítimo"
"news.hero.subtitle","Descubra información exclusiva y actualizada sobre el transporte marítimo internacional, con especial atención a Europa y el Norte de África."
"news.featured.readMore","Seguir leyendo"
"news.sidebar.title","Artículos recientes"
"news.meta.title","Últimas noticias | Bongiorno Transport"
"news.meta.description","Conozca las últimas noticias y perspectivas sobre transporte internacional, logística y cadena de suministro."
"privacy.title","Política de privacidad"
"privacy.lastUpdated","Última actualización: 09/12/2025"
"privacy.controller.name","Bongiorno Srl"
"privacy.controller.piva","10408830155"
"privacy.controller.address","Via del Gonfalone 4, 20123 Milano (MI) – Sede Secundaria: Via Marsala 40/c, 21013 Gallarate (VA)"
"privacy.controller.email","bongiornosrl@bongiornosrl.com"
"privacy.controller.pec","bongiornosrl@legalmail.it"
"privacy.sections[0].id","intro"
"privacy.sections[0].heading","Información conforme al art. 13 del GDPR"
"privacy.sections[0].subtitle","Reglamento UE 2016/679 y D.Lgs. 196/2003"
"privacy.sections[0].content[0]","Le informamos que sus datos personales serán tratados conforme a la normativa en materia de protección de datos personales, Reglamento UE 2016/679 (“GDPR”) y D. Lgs. 196/2003 y ss.mm.ii. (“Código de Privacidad”)."
"privacy.sections[1].id","dpo"
"privacy.sections[1].heading","Data Protection Officer (DPO)"
"privacy.sections[1].content[0]","La Empresa ha designado un Data Protection Officer (DPO), que puede ser contactado en la siguiente dirección de correo electrónico:"
"privacy.sections[1].content[1]","luca.confalonieri@bongiornosrl.com"
"privacy.sections[2].id","data-categories"
"privacy.sections[2].heading","Categorías de datos personales tratados"
"privacy.sections[2].content[0]","Serán objeto de tratamiento las siguientes categorías de datos:"
"privacy.sections[2].list[0]","Datos personales de personas físicas que contactan con la Empresa a través del sitio web u otros canales para solicitar cotizaciones o informaciones."
"privacy.sections[2].list[1]","Datos societarios de sujetos distintos de personas físicas involucrados en solicitudes o gestión de envíos."
"privacy.sections[2].list[2]","Datos relativos a los bienes a enviar."
"privacy.sections[2].list[3]","Datos relativos a los lugares de recogida y entrega."
"privacy.sections[2].list[4]","Datos relativos a la idoneidad de los medios de transporte y de los conductores para envíos sujetos a autorizaciones/restricciones específicas (por ejemplo mercancías ADR/IMO, fuera de gálibo)."
"privacy.sections[2].list[5]","Datos de las personas de contacto para cotización, encargos de envío, solicitudes de información, facturación, pagos, gestión de impagos y contestaciones."
"privacy.sections[2].list[6]","Datos necesarios para satisfacer exigencias de transporte, aduanas y obligaciones administrativas requeridas por Autoridades Públicas, Aduanas, Transportistas, Navieras, Compañías Aéreas, Agentes de Aduanas, Compañías Aseguradoras, Bancos, Auxiliares del transporte y Fuerzas del Orden, tanto nacionales como de la UE y extra-UE."
"privacy.sections[3].id","legal-basis"
"privacy.sections[3].heading","Finalidades y bases jurídicas del tratamiento"
"privacy.sections[3].content[0]","El tratamiento se realiza exclusivamente para la consecución de las finalidades indicadas por el Responsable."
"privacy.sections[3].content[1]","La base jurídica del tratamiento se fundamenta en:"
"privacy.sections[3].list[0]","Consentimiento;"
"privacy.sections[3].list[1]","Ejecución de medidas precontractuales/contractuales de las que el interesado es parte;"
